veda,hier,verse,meaning,elu,pu
Rigveda,1.3.1,Ashvinaa yajvariirisho dravatpaanni shubhaspati  Purubhujaa chanasyatam," Ashvinaa : Pair of two, (As per Maharishi Dayanand ji it fire (agni) and water (jala). As per Vedic grammer it can be (i) earth and sky, (ii) sun and moon, (iii) day and night, (iv) expert physicians or scientists. As per Harisharan Sidantalankar ji it is inhaled and exhaled breath (pran and apan) yajvarii : science of arts and crafts, person performing welfare acts with sacrifices (yajik) isha : desired materials dravatpaanni : instrumental in quickening the movement shubhaspati : giver of great virtues, benefits, great deeds purubhujaa : multi dimensional, multipurpose, taking care of many people chanasyatam : consuming with joy like food   None None None None None"," How is Ashvinaa, the pair of two, useful in life? Maharishi Dayanand ji has explained this verse to mean - Experts should make proper use of fire and water element in the science of art and craft or in food to produce desired things, so that people, after using their products, are able to quickly move from one place to another to perform various activities for general benefits. This way, large number of people would be benefitted. They will use all such things with joy as they feel while consuming food. According to Shri Harisharan ji - ashvinaa means the pair of pran and apan, the two names of inhaled and exhaled air. Air is vital element in our life. Proper use of air, inhaled and exhaled, make us moveable and active, make our efforts beneficial for many and help us digest food with joy and for proper utilization.  "," Wherever two forces join to work in a common direction and with common motive, the result would always be great and beneficial for many and also to achieve desired aims. There can be many types of pairs - husband & wife, father/mother & son/daughter, two brothers/sisters/friends, two social workers, employer & employee, partners, two soul-mates, govt. & citizens, body & mind, God & soul etc.  On spiritual path, body and mind should join together as ashvinaa to realise inner spirit and ultimately God Any joining of two forces (ashvinah) can ensure :- (i) 	welfare activities (ii)	achievement of desired aims (iii)	movement (iv)	great benefits for large number of people (v)	this joining shall be joyful like consuming good food. This verse supports a layman statement - one and one make eleven.   					"
Rigveda,1.3.2,Ashvinaa purudansasaa naraa shaviirayaa dhiyaa  Dhishnyaa vanatam girah.," Ashvinaa : Pair of two, (As per Maharishi Dayanand ji it fire (agni) and water (jala). As per Vedic grammer it can be (i) earth and sky, (ii) sun and moon, (iii) day and night, (iv) expert physicians or scientists. As per Harisharan ji it is inhaled and exhaled breath (pran and apan) purudansasaa : performing many types of acts naraa : giver of fruits of action, making us progressive shaviirayaa : helpful in movements dhiyaa : fire and water, intellect dhishnyaa : speed in movement or activity vanatam : to be utilized, beneficial girah :  sciences of art and craft, intellectual efforts   None None None None"," If we take the pair of fire and water to mean ashvinaa, the meaning of this verse is - This pair, as a great science, has power to perform many great acts resulting in good fruits, helpful in movements with speed, to be utilized in many beneficial acts.  "," A pair with all sincerity and sharp intellect can do anything great. As this principle is applied to two non-living elements, so is applicable in mutual relationship of living beings too. Even on spiritual path, one has to unite his physical and mental powers to realise inner power of God.   "
Rigveda,1.3.3,Dasraa yuvakavah sutaa naasatya vrikta barhishah  Aayatam rudravartanii ," Dasraa : Destroyer of miseries, sufferings yuvakavah : unitedly as a mix or separately sutah : proper and full use of elements or powers naasatya : nothing is untruthful in them vrikta barhishah : the great learned people who explain the result of united action aayatam : let them come to us rudravartanii : to destroy enemies   None None None None None"," How great are the results of united action of our powers? God instructs us to make proper and full use of our powers, our abilities and elements found in nature, unitedly or separately, as per situational requirements. There shall be no untruth or lack of ability, competence or power in any element or companion.  Invite great and learned people to explain the result of united action or efforts, to destroy enemies or troubles. Such relations and activities destroy all sufferings and miseries. It means, besides the power of elements or companions, there is a great importance of learned people to guide about the proper use of elements and/or to purify the hearts and minds of companions.  "," Verse1, 2 & 3 form a common chain of one idea. Focus in the verse 3 is on proper knowledge and use of elements, purity of companions. Help of learned great men/experts is warranted in every group of people or in any activity of science.   "
Rigveda,1.3.4,Indra aayaahi chitrabhaano sutaa ime tvaayavah  Anviibhistanaa putaasah ," Indra : Almighty God, sun aayaahi : please come to us chitrabhaano : having astonishing knowledge, light sutaa : all good qualities and knowledge in us, all worldly objects ime : these tvaayavah : are produced by you and are your part and parcel, are desiring for you anviibhistanaa : by the subtlest causes spread all over and always putaasah : are pure and purifying   None None None None"," Shall we remain satisfied with the grants of God or wish for God? The Almighty God! please come to us, always be in our realisation to inspire us at every step. That Supreme Power has produced astonishing knowledge, powers and have given all these to us. Whenever we use these objects, knowledge or powers etc. we must desire for the company of the Great Giver also because all His gifts, produced by the subtlest causes, are all pure and purifying.  We should not remain satisfied with the grants of God but must aspire for His realisation. Only then we can keep our self purified. Vice versa, if we focus on purity, we can easily realise that Supreme Power.  "," Every superior authority, in any small or big establishment, gives you many benefits in the form of worldly gains, knowledge, training, honour etc. and would certainly expect in return a purity in your acts and conduct. If we show these ethics, certainly we can get closer to our superior authority.  "
Rigveda,1.3.5,Indra aayahi dhiyeshito viprajuutah sutaavatah  Upa brahmaani vaaghatah," Indra : Supreme Intelligence God, controller of sense organs aayahi : please come to us dhiya : by intellect and intelligent deeds ishitah : desired and receivable viprajuutah : enlightened people are able to know You. sutavatah : who know the worldly and spiritual sciences, protect virtues in them upa : near brahmaani : great knowledgeable and enlightened people vaaghatah : who perform welfare activities (yajna) for the happiness of all   None None None"," How can we realise nearness to God? Realisation of Supreme Intelligence of God is desired, possible and receivable only through intellect and intelligent deeds. Intellect here means subtle mind. We can activate our subtle mind for God realisation only by controlling multi waves of thoughts and selfish desires. Only enlightened people know Him as they have known all worldly and spiritual aspects of knowledge and protected virtues in them. God remains near such people only who have great knowledge and are enlightened and perform welfare activities (yajna) for all.  "," How can we achieve nearness to our superiors? We can get closer to any higher authority with our great intellect. This nearness is possible only for those possessing these features :- (i)	Who are enlightened and desiring to know more, (ii)	Who have protected virtues in them, (iii)	Who perform welfare deeds.  "
Rigveda,1.3.6,Indraa aayahi tuutujaana upa brahmaani harivah Sute dadhishva nashchanah," Indra : The air in universe, our pranic air (both the dimensions are attributable to God) aayahi : please come to us tuutujaana : quick in motion up : get near brahmaani : enlightened persons harivah : for movements, as controller of senses sute : beneficial worldly objects and great virtues dadhishva : are held nashchanah : for consuming food, its digestion and other processes, for other purposes like using materials, acquiring knowledge and practicing virtues.   None None None"," How can we realise God, by realising the importance of air? The wide spread air in the universe represents God. We welcome God in our individual life every moment as prana. It's quick in motion, so our movements and activities take place due to that air. Even Divinity comes near us for the very purpose of enlightenment and movements. Food that we consume passes through digestion and other processes for the purpose of continuity of a healthy life. With such a healthy life, everyone wishes to hold all their belongings i.e. materials, knowledge and virtues. It means all our life activities are dependent on air, a gift of God.  Thus, we can realise God on the strength of knowledge, selfless and egoless activities. We should hold these features as daily food to continue with our realised state.  "," What's the importance of air in life? Air means continuity. Without air in 3 minutes we can die. Air is important for all life activities. Just as we hold air to digest food and to perform other activities; we hold life to use all worldly objects and our virtues, similarly we should make intelligent efforts for a better future. Our higher authorities/elders made intelligent efforts in past to facilitate our present. Obviously, they would expect same intelligence and activities from us for a better future. On the strength of our intelligence and virtues, we get a status and our life processes are carried on. The purpose all life activities should be to increase our intelligence and virtues to ensure its continuance in future.   "
Rigveda,1.3.7,Omaasacharshanidhrito vishve devaasa aagata daashvaamso  Daashushah sutam," Omaasah : God's feature of protecting everything with his vast powers like knowledge, sciences, virtues, realisation etc.  charshanidhrito : holding everything with His true preachings (Vedas) vishve devaasa : all great and enlightened men who have realised God and His knowledge aa gata : please come to me (be in my realisation) daashvaamso : You can make us fearless with Your Divine qualities daashushah : give to all people sutam : knowledge of all sciences and virtues.    None None None None"," How does God protect and hold everything in the universe? Two principal features of God are :- 1. Protecting everything with His vast powers like knowledge, sciences, virtues etc. 2. Holding everything with His knowledge. So we must invite and welcome all such great people who are well versed with God's knowledge and powers. Such great people can also do two important favours to us :- 1. make us fearless, 2. give us true knowledge of all sciences and virtues etc.   ","  What is the importance of complete knowledge and expertise? Complete knowledge and expertise in any pursuit is welcomed everywhere as it is helpful in two principal ways :- 1. It removes fears of disturbances by empowerment, 2. It makes us aware of true knowledge. Therefore, everyone should be a powerful and knowledgeable personality of one's pursuit. One can have a great progressive future only if he is competent to protect others from miseries/sufferings with his complete knowledge..   "
Rigveda,1.3.8,Vishve devaaso apturah sutamaa ganta tuurnayah Usraa iva svasaraani.," Vishve devaaso : All great enlightened men who have realised God and His knowledge apturah : swift moving and acting rapidly sutamaa ganta : come regularly to enlightened us with all sciences, knowledge and virtues tuurnayah : to diffuse light of knowledge in all directions Usraa iva : as the solar rays svasaraani : come diligently in the day.   None None None None None None"," How are enlightened people equated with morning sun rays? God has ordained all people to invite and welcome those enlightened men who are swift moving to diffuse knowledge in all directions as they can better enlighten us with all sciences, knowledge and virtues. Such people are beneficial as sun rays coming diligently to diffuse light in the day. This verse can be taken as a duty cast upon all enlightened persons to be swift moving to spread knowledge. Let no trouble, desire for selfish gains, or laziness to remain as a hurdle in performing this duty. Swift movement without laziness is related to great knowledge. Whereas, luxuries and laziness are related to ignorance.  "," Why are enlightened people  respected everywhere? Always keep an active connectivity with enlightened people of your pursuit. Such people have been equated with sunrays coming for enlightenment in the day. We can not imagine a day without sunrays. Similarly, we can not imagine enlightenment, knowledge and virtues without the connectivity of already enlightened and knowledgeable people. Enlightened persons are respected everywhere. Therefore, be that enlightened or follow an enlightened.   "
Rigveda,1.3.9,Vishve devaaso asridha ehimaayaaso adruhah  Medham jushanta vahnayah.," Vishve devaaso : All great enlightened men who have realised God or His knowledge asridha : undecayed knowledge ehimaayaaso : always active (without laziness) adruhah : devoid of malice Medham : combining knowledge and action for all people jushanta : everyone should enjoy company of such people happily vahnayah : as their acts are for the happiness of all, they eagerly accept the responsibility of their duties i.e. karmas.   None None None None None"," What are the important features of enlightened people? All great enlightened persons have following features :- (i) 	Their knowledge is undecayed (asridha) (ii)	They are always active (ehimaayaaso) (iii)	They are devoid of malice (adruhah) (iv)	They combine knowledge and action for the welfare of all (medham) (v)	They eagerly accept the responsibility of their duties (vahnayah) For all followers and common people, there is only one requirement to enjoy the company of such people happily with heartfelt welcome.   ", 5 duties of Great people v/s 1 duty of Ordinary people Great and enlightened persons have 5 great responsibilities as compared to just one duty for the ordinary people i.e. to enjoy the company of enlightened person happily. Enlightened persons don't mind while performing such hard duties but ordinary people don't care for their single duty. Ordinary people don't wish anyone to help them develop Vedic Wisdom. That's the root cause of modern life's miseries and sufferings   
Rigveda,1.3.10,Paavaka nah saraswati vaajebhirvaajiniivatii  Yajyam vashtu dhiyaavasuh ," Paavaka : Purifying  nah : for us saraswati : knowledge which is great, beneficial for all and supreme vaajebhirvaajiniivatii : whatever materials are used in the attainment of knowledge, this knowledge, in return, produces materials in multiples Yajyam : welfare acts vashtu : enlightening dhiyaavasuh : combining knowledge and activity   None None None None None"," What is saraswati, the great knowledge? Only great, beneficial for all and supreme knowledge purifies us through our behaviour and conduct. Saras in hindi means - samaan rasa, equally beneficial for all. Wherever there is great and beneficial knowledge, there is purity. Otherwise it's just information and rather ignorance and can produce impurity. Whatever materials, food and other things, are consumed or invested to attain such great knowledge, it gives back all those things. This way, it becomes a cycle of great knowledge, happiness and prosperity. If some knowledge is not beneficial for all, it would result in destruction, crimes and miseries. Such a knowledge is actually no knowledge or ignorance i.e. agyan. With great and beneficial knowledge only one can get enlightened and inspired for welfare acts by combining his great knowledge and righteous activities i.e. gyan and karma. formula 1 gyan + karma = yajna (sacrifices) for great returns agyan + karma = crimes for punishments formula 2 Great Knowledge is purity, ignorance thereof is impurity  "," Make your life saras i.e. equally beneficial for all. It will prove that you have saraswati, the great and beneficial knowledge. Then perform your activities. Returns of saraswati are in multiples of investment.  "
Rigveda,1.3.11,Chodayitrii suunritaanaam chetantii sumatiinaam  Yajnam dadhe saraswatii.," Chodayitrii :  Inspirer, entering into mind suunritaanaam : sweet and truthful, sincere and kind chetantii : creating consciousness sumatiinaam : of right minded intellect and knowledge Yajnam : welfare activities dadhe : giver, holder saraswatii : the great and equally beneficial knowledge   None None None None None"," How Saraswati holds yajnas, the welfare activities? Saraswati, the great and beneficial knowledge equally for all, is the inspirer of sweet and truthful speech from within by entering into mind. It creates consciousness in right minded intellects. Thus, saraswati purifies the mind, speech and all activities of sense organs, thereby, leading a person to perform all welfare activities only. Thus, saraswati is the holder of yajnas.  "," Saraswati, the great knowledge and equally beneficial  for all,  inspires from within, creates a consciousness of the level of great men and holds welfare activities. Result of such a course, in any field of life, is automatic. Such a person is uplifted in the society, in the eyes of people as well as on the path of God realisation.  "
Rigveda,1.3.12,Maho arnah saraswatii prachetyati ketunaa  Dhiyo vishva viraajati.," Maho :  The great, vast arnah : ocean saraswatii : great and beneficial knowledge prachetyati : enlightens, inspirers ketunaa : with the intellect and pure activities dhiyo vishva : all intellects, minds viraajati : are influenced.   None None None None None"," How Saraswati rules the world? Saraswati is equated with vast ocean. Just as ocean is the source of diamonds etc. saraswati also is the ocean of words and thoughts and can produce great results by enlightening the intellect and pure activities. Thus, only saraswati, the great knowledge, rules the society.  "," How can our simple knowledge become saraswati? By worshipping and glorifying saraswati, the great and beneficial knowledge, followed by pure welfare activities, you can rule over the hearts of people all around, at home, workplace or society. We can make our simple knowledge also as saraswati by making it equally beneficial for all.   Rigveda Mandal-1, Hymn-4  "
Rigveda,1.4.1,Suruupakritnumutaye sudughaamiva godhuhe  Jjuhuumasi dyavidyavi," Suruupakritnum : Supreme Creator who created all objects, God utaye : for knowledge sudughaamiva  : just as mother cow is milked godhuhe : by a person in need of nourishment juhuumasi : we worship and glorify Him dyavi dyavi : every day regularly.   None None None None None None"," Why do we worship and glorify God? When can we worship and glorify God? We invoke the Supreme Creator of all objects i.e. God. Just as a cow-boy milkes his mother cow whenever he needs milk for nourishment, similarly we worship and glorify the Almighty Supreme Creator, any time and at any place, every day to obtain nourishment for our soul. Great knowledge and God realisation are the nourishments for our soul. Just as cow is available all the times everyday for physical and economic needs and that is why she is worshipped as mother. Similarly, God is also available at all times for worship, for seeking knowledge and to progress on spiritual path.  "," Can we also be glorified like God? The Supreme Power, God, is for spiritual progress. Cow is for physical and economic progress. That is why both are liable to be worshipped any time. If you are available to your family, society or work establishments every time for help or service, you will also be worshipped and glorified like God and cow. You can become God by serving the people around you unconditionally. Be a milking cow for others - sudughaamiva  godhuhe.   "
Rigveda,1.4.2,Upa nah savanaa agahi somasya somapaah piba  Godaa id revato madah," Upa nah : Near us savanaa : to give light to the objects, with sun rays, to bless sacrifices i.e. yajna agahi : please come somasya : being the Creator of all objects, knowledge and virtues somapaah : being the protector of all such things in us piba : we receive godaa : giving cow etc. in donation, sun rays empowering our eyes to see id : with this determination, with this power revato : people possessing objects, knowledge and virtues madah : enjoy (His grants)   None None"," How are the powers of God innumerable? God is the Creator and Protector of all objects as well as empowers us to use His grants. The Supreme Creator, God, by giving light to all objects with his sun rays and to bless our sacrifices and welfare activities, come to us. We invite Him to be with us always in our realisation. He is the creator as well as protector of all objects, knowledge and virtues in and around us. Human beings are instructed to enjoy all such possessions while sharing with others. God illumines the objects with His sun rays and at the same time empower our eyes also with the same sun rays to enjoy these objects.  "," How can we ensure long-lasting enjoyments of His Grants?  God is the Creator and Protector of every thing. Moreover, we enjoy His creation with the powers given by Him. To make such enjoyments permanent in life, we must be prepared to sacrifice such grants any time for the welfare of others. That will be actual and long-lasting enjoyment. Godaa id revato madah - only grantor becomes God. Be a grantor like God.   "
Rigveda,1.4.3,Athaa te antamaanam vidyaama sumatinaam Maa no atikhya aagahi," Athaa : Hence te : Your antamaanam : very close, feeling You in their heart vidyaama : competent to know You sumatinaam : behaving in a noble way maa : please don't no : for us atikhya : stop Your closeness, Your knowledge and virtues aagahi : You please enlighten our inner life also with your presence and realisation   None None None"," How can you become great like other great men? There were great rishis and saints who realised the presence of God very close to them, in their inner life. They were competent to know Him. They behaved in a great noble way. Similarly we also pray to God - not to stop such feelings, knowledge and virtues from us. We too can realise God, the Divine Power of the universe. We will have to follow those rishis and saints who realised God. (i) We must make efforts at our own by adopting all such qualities of great men, (ii) We must seek guidance and support from the company of such great men.  "," How to touch heights in material and social life? There are two ways to realise God : (i)   	Direct perception, (ii) 	Company of great men, practically following great scriptures like Vedas. You can follow the same principle for material and social progress also : (i) Start serving the society directly wherever possible according to your capabilities, capacity and position. (ii) Seek the guidance and support of those who are already at the height of serving others. Your destination in life certainly should be to touch the height in your respective field.   "
Rigveda,1.4.4,Parehi vigram astritam indram pricchaa vipashchitam Yaste sakhibhya aavaram," Parehi : Keeping away from worldly issues vigram : noble intellectuals astritam : non-violent, virtuous indram : holding divinity, controll over sense organs pricchaa : go and ask ( your querries) vipashchitam  (vi + pash + chittam) : who have understood and realised God and His powers in their heart. Yah : who are te : for You and sakhibhya : Your equal minded friends, seekers of divinity aavaram : providers of Divine knowledge that is liable to be adopted, acquired and held.   None None"," Features of great realised souls? If we are seekers of spirituality and divine knowledge, it is advisable to first keep our self away from worldly desires and then to seek the company of such great souls who have following features : (i) noble intellectuals (ii) non-violent, virtuous (iii) holding divinity (iv) understood and realised God and His powers in their hearts. Only such people can provide proper guidance on the divine path.  "," Features of a good advisor? Whether it is regarding divine path or any worldly issues, advices must be sought from a person of proper caliber, competence and whose behaviour must be free from doubts. This verse lays down four features of a great advisor : (i) noble intellectuals having complete knowledge of the subject matter. (ii) non-violent, virtuous (iii) holding divinity, purity, welfare orientation (iv) understood and realised the knowledge of his subject in his heart.  "
Rigveda,1.4.5,Uta bruvantu no nido niranyatashchidaarata Dadhaanaa indra id duvah,  Uta : Certainly with determination bruvantu : speak no : not nido : criticism nih aarata : keep away from anyatah : other useless jobs and discussions chid : certainly Dadhaanaa : hold indra : God id : certainly duvah : discussions about  ," What are three great instructions to progress on spiritual path? Three practical instructions to progress on spiritual path : (i) No criticism of others in their absence : We must refrain from criticizing others at their back and even in one's presence. We should point out faults very humbly to look like a suggestion for his/her welfare. It is believed that if we criticize a wrong-doer, his wrong deeds are added to our karma bank also. It amounts to wastage of our energy. (ii) No involvement in useless jobs or gossip discussions. Focus on the utility of time and energy for useful activities only. (iii) Always hold discussions about God, the Supreme Energy and your individual life energy, health and welfare of all.  "," What are three great practical instructions for peace and progress in life? These three instructions are universal in nature irrespective of our place, time or pursuits, may it be our home, workplace, society or spiritual path. (i) No criticism (ii) Focus on useful spending of time and energy. (iii) Discussions about energizing and promoting welfare. This would increase our energy level, utility of our efforts would increase and save us from many complications like grouping, ego problems and conflicts etc. Such a person is appreciated everywhere and by everyone.  "
Rigveda,1.4.6,Ut nah subhagaan arirvocheyuhdasma krishtayah Syaamedindrasya sharmaani , Ut : Also nah : our subhagaan : praises (for our acts and virtues) arih : by enemies vocheyuh : be sung dasma : O! the Supreme Lord giving punishment to wrong-doers krishtayah : be a hard working person (working with a happy and balanced mind) syaam : inspired and established it : with determination indrasya : in God's sharmaani : permanent pleasure   None," What are the results of three great instructions? This verse is to be read with verse 5 of this sukta. If we follow three practical instructions to progress on spiritual path i.e. not criticizing others, focusing on utility of time and energy, always discussing about God, the Supreme Energy, we will be able to create an atmosphere where even our enemies would also appreciate us and sing songs in our glory. Wrongs of others are not our problems. The Almighty God punishes every wrong-doer. We should focus only on our acts. We can work hard with a balanced mind only if we don't involve in gossips and useless activities. This way we can establish our self in permanent pleasure of God with our determination.  "," What is the plan for permanent pleasure? Three requirement : (i) No criticism (ii) Focus on doing useful acts only. (iii) Always discuss about Supreme Energy  Three results : (i) Your enemies will praise you (ii) You will become hard worker with balanced mind (iii) You enjoy the permanent pleasure of your inner energy.   Principle :	Only God punishes wrong-doers, not we or our comments.    "
Rigveda,1.4.7,Emaashumaashave bhara yajnashriyam nrimaadanam  Patayanmandayat sakham,"Em : These aashum : objects of speed and other qualities, virtues aashave : for realising God, for achieving splendid wealth bhara : hold yajnashriyam : great fame of a noble person doing good to others nrimaadanam : giving joy to the progressive person Patayat : owner's feeling mandayat : joyous feeling sakham : like a friend   None None None None"," What is the purpose of all objects and virtues? We should hold all worldly objects made of five elements (ether, air, fire, water and earth) and virtues etc. for the realisation of God, the Supreme well wisher and the Giver of everything. These objects and virtues are the cause of our fame when we use them for the welfare of others i.e. yajna. These objects and virtues are the cause of joy in the life of progressive person. On one hand, these objects and virtues give us a feeling of being the owner thereof and on the other, their presence is joyous like a friend. But we must remember every moment that the purpose of all the objects and virtues in our life is God realisation.  "," We must hold all objects and virtues keeping in mind the following : (i) For doing welfare activities, (ii) they give great fame, (iii) they give great joy, (iv) they give us a feeling of being an owner, (v) they look like our a friend, (vi) purpose of all these is God realisation   "
Rigveda,1.4.8,Asya pitvaa shatakrato ghano vritraanaamabhavah Praavo vaajeshu vaajinam," Asya pitvaa : After consuming these shatakrato : performer of innumerable tasks ghano : clouds vritraanaam abhavah : become the killer of all evils, diseases etc. Praavo : protect vaajeshu : in this war of life vaajinam : the protectors, warriors   None None None None None"," Who is protected by God? The Almighty Supreme Power, God, performs innumerable tasks in the universe. Through His great creation Sun, He drinks the clouds and thereby produces rain to kill diseases and produce all nutrition. Similarly, active and intelligent people drink the nectar of God realisation by performing penances to kill the evil minds and to produce virtues. Strong and able bodied warriors drink the sufferings and miseries of others to kill criminal and evil minds and to protect innocent people. The Supreme Lord protects all such intelligent and powerful people who sacrifice their interests and take upon their shoulders, the responsibility of protecting common people.  "," Protection is the universal requirement of Divinity. God protects those who protect virtues. This golden rule has universal application. In families, everyone love the head of family who works for the smooth running of everyone's life. At work places and in the society, all superior authorities and leaders are respected because they protect their respective juniors and masses as well. Great people use their authority for the welfare of others even at the cost of their personal interests and conveniences. It is required by the Divinity.   "
Rigveda,1.4.9,Tam tvaa vaajeshu vaajinam vaajyaamah shatakrato Dhanaanaamindra saataye," Tam tvaa : To You (the Shatakrato) vaajeshu : in this war of life vaajinam : the Supreme Protector, Warrior vaajyaamah : we try to know and realise shatakrato : the performer of innumerable tasks Dhanaanaam : for splendid wealth indra : O! God saataye : we worship and glorify You.   None None None None", Why do we worship and glorify God? Read verse 8 and 9 together - The ultimate Protector and Performer of innumerable tasks is God whom we try to know and realise. We worship that Supreme Energetic and Powerful God.  ," By protecting others you can make your life great. The ultimate Supreme Protector is God, that is why we worship, glorify and endeavour to realise Him only. Hence, practically we you wish to make your life great, you must act and behave like protector of others.  "
Rigveda,1.4.10,Yo raayo avanirmahaantsupaarah sunvatah sakhaa Tasmaa indraaya gaayata," Yo : Who raayah : splendid wealth - material, mental and spiritual avanih : produces and provides mahaanta : is liable to be worshipped and glorified for His Greatness supaarah : He facilitates all tasks and fulfills all desires sunvatah : those doing similar welfare of others sakhaa : friend of Tasmaa : that indraaya : Supreme Power is gaayata : to be sung in praise.   None None"," What is the greatness of God? Being the Supreme Protector, God is liable to be worshipped for His greatness because :- (i) He produces and provides splendid wealth i.e. material, mental and spiritual. (ii) He facilitates all tasks and fulfills all desires. (iii) He is the friend of those doing welfare of others. Therefore, only that Supreme Power is to be sung in praise.  "," People having great wisdom, energy and helping nature are also considered great and friends of God. Just as God is Supreme in the universe, there are so many people around us, in our families, offices and in the society, who are of supreme importance in our life. Their great wisdom, energy level as well as their help and support to others made them important for many. Such people are the friend of the Supreme Energy, God. We respect and glorify all such friends of God also as if we glorify God."
